dataset,task,wavelet_type,largest_scale,layers,moments,model,seed,pca_variance,epochs,batch_size,lr,weight_decay,device,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,n_pca
PEMS07,WEEK,W2,4,1 2 3,1,LR,56,0.99,100,512,0.001,0.0001,cuda,0.30278696268304206,0.26789268633531726,0.19361818051736251,0.2194046071510051,0.15340589823373296,0.26789268633531726,2
PEMS07,WEEK,W2,4,1 2 3,1,SVC,42,0.99,100,512,0.001,0.0001,cuda,0.31459612659423714,0.27015313686568765,0.1919730645294555,0.22056183558451276,0.1631131464900738,0.27015313686568765,2
PEMS07,WEEK,W2,4,1 2 3,1,SVC,43,0.99,100,512,0.001,0.0001,cuda,0.3070382616910723,0.2697616734561703,0.1843393634337145,0.2107017801287847,0.16176478187290882,0.2697616734561703,2
PEMS07,WEEK,W2,4,1 2 3,1,SVC,44,0.99,100,512,0.001,0.0001,cuda,0.29853566367501183,0.2669075649762096,0.176424681466502,0.1994206139111106,0.16075732112586472,0.2669075649762096,2
PEMS07,WEEK,W2,4,1 2 3,1,SVC,45,0.99,100,512,0.001,0.0001,cuda,0.30467642890883323,0.2655620156208807,0.17981874428610756,0.20703814237091311,0.1654844491085267,0.2655620156208807,2
PEMS07,WEEK,W2,4,1 2 3,1,SVC,56,0.99,100,512,0.001,0.0001,cuda,0.2959376476145489,0.26449711595744085,0.17652751024827446,0.19912482185656677,0.1592685863519197,0.26449711595744085,2
PEMS07,WEEK,W2,4,1 2 3,1,MLP,42,0.99,100,512,0.001,0.0001,cuda,0.3127066603684459,0.2785731844359601,0.2233957157128064,0.24680011347887415,0.3041448079702346,0.2785731844359601,2
PEMS07,WEEK,W2,4,1 2 3,1,MLP,43,0.99,100,512,0.001,0.0001,cuda,0.31648559282002836,0.2814119410171174,0.2291897673540154,0.25372591305238373,0.3097247873757292,0.2814119410171174,2
PEMS07,WEEK,W2,4,1 2 3,1,MLP,44,0.99,100,512,0.001,0.0001,cuda,0.31908360888049125,0.2863578364391656,0.2379526048770491,0.2605483716303191,0.30414237860497906,0.2863578364391656,2
PEMS07,WEEK,W2,4,1 2 3,1,MLP,45,0.99,100,512,0.001,0.0001,cuda,0.3240434577231932,0.2860501545798235,0.23432131945540313,0.2589345429463996,0.3247169506463802,0.2860501545798235,2
PEMS07,WEEK,W2,4,1 2 3,1,MLP,56,0.99,100,512,0.001,0.0001,cuda,0.31554085970713275,0.2811747265978746,0.21484921039412466,0.23942812308840342,0.2896026317536653,0.2811747265978746,2
PEMS07,WEEK,W2,4,1 2 3,1,XGB,42,0.99,100,512,0.001,0.0001,cuda,0.33136513934813416,0.3066101950410869,0.27711972338205976,0.29329930319684594,0.32292404126092256,0.3066101950410869,2
PEMS07,WEEK,W2,4,1 2 3,1,XGB,43,0.99,100,512,0.001,0.0001,cuda,0.3209730751062825,0.293342203240036,0.27035853815477323,0.28842992815423907,0.29865257007145424,0.293342203240036,2
PEMS07,WEEK,W2,4,1 2 3,1,XGB,44,0.99,100,512,0.001,0.0001,cuda,0.31837505904581953,0.2900676467918273,0.2589217015535709,0.2783783227538825,0.28314794906830637,0.2900676467918273,2
PEMS07,WEEK,W2,4,1 2 3,1,XGB,45,0.99,100,512,0.001,0.0001,cuda,0.3422295701464336,0.3107315051363952,0.28063622845804376,0.3012501377848487,0.3304299766181168,0.3107315051363952,2
PEMS07,WEEK,W2,4,1 2 3,1,XGB,56,0.99,100,512,0.001,0.0001,cuda,0.3252243741143127,0.2993135414010627,0.2667489856361187,0.2834528162240949,0.30257163818002103,0.2993135414010627,2
